,filename,position
433,175,"[822, 407, 101, 85]"
434,175,"[848, 411, 127, 81]"
435,176,"[835, 434, 74, 61]"
436,176,"[313, 433, 305, 220]"
437,176,"[74, 421, 111, 67]"
438,176,"[54, 410, 154, 87]"
439,176,"[343, 404, 339, 105]"
440,176,"[67, 422, 165, 86]"
441,176,"[299, 440, 307, 110]"
442,176,"[158, 409, 586, 149]"
443,177,"[86, 419, 112, 50]"
444,177,"[66, 408, 149, 72]"
445,177,"[333, 409, 352, 148]"
446,177,"[73, 420, 128, 77]"
447,177,"[317, 420, 311, 201]"
448,177,"[824, 441, 136, 69]"
449,177,"[871, 371, 156, 106]"
450,178,"[59, 369, 113, 89]"
451,178,"[51, 379, 125, 100]"
452,178,"[70, 396, 156, 81]"
453,178,"[52, 369, 193, 134]"
454,178,"[348, 397, 368, 111]"
455,178,"[299, 415, 347, 169]"
456,178,"[863, 450, 168, 82]"
457,178,"[999, 461, 145, 81]"
458,178,"[424, 439, 510, 327]"
459,178,"[957, 496, 51, 55]"
460,178,"[867, 375, 157, 111]"
461,179,"[72, 393, 147, 100]"
462,179,"[112, 391, 157, 126]"
463,179,"[319, 415, 350, 114]"
464,179,"[870, 373, 159, 120]"
465,180,"[806, 320, 155, 161]"
466,180,"[80, 398, 160, 86]"
467,180,"[355, 408, 349, 84]"
468,180,"[322, 424, 311, 119]"
469,180,"[98, 404, 374, 118]"
470,180,"[426, 439, 504, 345]"
471,180,"[856, 371, 197, 123]"
472,181,"[825, 388, 100, 100]"
473,181,"[104, 393, 167, 88]"
474,181,"[830, 348, 157, 129]"
475,182,"[133, 414, 148, 104]"
476,182,"[124, 391, 183, 81]"
477,182,"[348, 440, 244, 121]"
478,182,"[845, 380, 133, 103]"
479,183,"[138, 403, 96, 79]"
480,183,"[172, 431, 104, 84]"
481,183,"[158, 425, 126, 109]"
482,183,"[363, 452, 280, 184]"
483,183,"[152, 395, 151, 97]"
484,183,"[397, 405, 319, 65]"
485,183,"[352, 436, 252, 108]"
486,183,"[409, 418, 539, 357]"
487,183,"[369, 434, 593, 323]"
488,183,"[857, 378, 160, 108]"
489,184,"[157, 415, 116, 97]"
490,184,"[399, 444, 233, 143]"
491,184,"[355, 447, 272, 239]"
492,184,"[154, 401, 129, 79]"
493,184,"[358, 444, 245, 144]"
494,184,"[148, 407, 607, 144]"
495,185,"[179, 417, 123, 111]"
496,185,"[205, 421, 155, 111]"
497,185,"[417, 443, 208, 121]"
498,185,"[837, 460, 54, 46]"
499,185,"[807, 442, 111, 102]"
500,185,"[913, 469, 65, 44]"
501,185,"[1029, 476, 55, 34]"
502,185,"[313, 426, 333, 350]"
503,185,"[150, 402, 574, 149]"
504,185,"[858, 357, 169, 117]"
505,186,"[178, 399, 146, 104]"
506,186,"[858, 454, 102, 67]"
507,186,"[856, 409, 105, 85]"
508,187,"[839, 436, 75, 57]"
509,187,"[451, 436, 182, 114]"
510,187,"[841, 455, 81, 62]"
511,187,"[837, 448, 98, 79]"
512,187,"[889, 460, 83, 58]"
513,187,"[407, 377, 320, 83]"
514,187,"[354, 431, 214, 116]"
515,187,"[882, 355, 137, 127]"
516,188,"[197, 385, 157, 90]"
517,188,"[404, 411, 274, 94]"
518,188,"[219, 424, 124, 84]"
519,188,"[411, 437, 199, 118]"
520,188,"[403, 408, 276, 159]"
521,188,"[893, 451, 161, 89]"
522,188,"[446, 460, 463, 289]"
523,188,"[874, 363, 200, 128]"
524,188,"[862, 327, 345, 186]"
525,189,"[407, 430, 245, 127]"
526,189,"[411, 423, 250, 100]"
527,189,"[418, 417, 385, 220]"
528,189,"[207, 408, 140, 92]"
529,189,"[399, 435, 235, 124]"
530,189,"[862, 346, 189, 150]"
531,190,"[207, 414, 150, 104]"
532,190,"[859, 452, 48, 50]"
533,190,"[463, 371, 245, 122]"
534,190,"[189, 398, 163, 91]"
535,190,"[248, 407, 114, 68]"
536,190,"[508, 385, 285, 89]"
537,190,"[393, 377, 336, 215]"
538,190,"[530, 434, 261, 78]"
539,190,"[876, 456, 170, 73]"
540,190,"[920, 484, 139, 73]"
541,190,"[998, 486, 129, 97]"
542,190,"[880, 362, 131, 111]"
543,191,"[228, 426, 143, 110]"
544,191,"[450, 403, 231, 126]"
545,191,"[848, 458, 49, 49]"
546,191,"[449, 398, 228, 164]"
547,191,"[445, 396, 239, 175]"
548,191,"[545, 405, 227, 65]"
549,191,"[562, 436, 227, 100]"
550,191,"[857, 426, 178, 108]"
551,191,"[453, 459, 463, 293]"
552,191,"[863, 363, 195, 128]"
553,192,"[436, 426, 244, 205]"
554,192,"[423, 406, 272, 90]"
555,192,"[450, 422, 212, 112]"
556,192,"[501, 422, 225, 99]"
557,192,"[967, 468, 131, 68]"
558,192,"[441, 436, 441, 333]"
559,192,"[898, 372, 131, 98]"
560,193,"[257, 431, 145, 107]"
561,193,"[477, 418, 255, 133]"
562,193,"[430, 431, 232, 155]"
563,193,"[492, 433, 242, 140]"
564,193,"[988, 479, 125, 84]"
565,193,"[467, 440, 434, 322]"
566,193,"[511, 449, 430, 317]"
567,193,"[440, 446, 199, 172]"
568,193,"[869, 362, 200, 137]"
569,194,"[267, 410, 144, 102]"
570,194,"[450, 428, 253, 164]"
571,194,"[446, 420, 385, 246]"
572,194,"[264, 427, 142, 105]"
573,194,"[926, 422, 166, 111]"
574,194,"[813, 306, 321, 253]"
575,195,"[967, 357, 142, 135]"
576,195,"[953, 379, 148, 141]"
577,195,"[447, 435, 248, 232]"
578,195,"[945, 458, 110, 83]"
579,195,"[313, 377, 250, 91]"
580,195,"[330, 389, 418, 69]"
581,195,"[290, 430, 147, 107]"
582,195,"[438, 436, 221, 113]"
583,195,"[243, 395, 607, 147]"
584,195,"[874, 425, 187, 113]"
585,195,"[452, 435, 428, 323]"
586,195,"[863, 354, 201, 149]"
587,196,"[303, 406, 195, 98]"
588,196,"[450, 443, 221, 187]"
589,196,"[426, 440, 261, 262]"
590,196,"[920, 358, 168, 131]"
591,196,"[891, 332, 226, 183]"
592,197,"[312, 428, 134, 72]"
593,197,"[303, 423, 168, 99]"
594,197,"[292, 402, 265, 144]"
595,197,"[943, 408, 162, 105]"
596,197,"[913, 361, 159, 121]"
597,198,"[330, 416, 248, 229]"
598,198,"[293, 413, 263, 126]"
599,198,"[372, 429, 174, 102]"
600,198,"[300, 429, 149, 94]"
601,198,"[972, 448, 139, 100]"
602,198,"[324, 415, 653, 374]"
603,198,"[877, 352, 199, 131]"
604,198,"[802, 295, 330, 241]"
605,199,"[317, 427, 196, 172]"
606,199,"[326, 431, 278, 316]"
607,199,"[347, 406, 309, 148]"
608,199,"[361, 424, 267, 224]"
609,199,"[373, 443, 386, 285]"
610,199,"[891, 355, 187, 136]"
611,199,"[823, 314, 301, 227]"
612,200,"[314, 427, 150, 135]"
613,200,"[327, 388, 221, 125]"
614,200,"[316, 415, 271, 168]"
615,200,"[887, 350, 194, 135]"
616,200,"[809, 309, 312, 226]"
617,201,"[333, 355, 287, 212]"
618,201,"[322, 417, 230, 154]"
619,201,"[372, 432, 322, 235]"
620,201,"[888, 334, 241, 176]"
621,202,"[349, 399, 255, 264]"
622,202,"[341, 334, 273, 166]"
623,202,"[343, 393, 241, 163]"
624,202,"[383, 393, 253, 167]"
625,202,"[345, 366, 324, 210]"
626,202,"[910, 356, 169, 129]"
627,203,"[325, 393, 468, 347]"
628,203,"[346, 394, 274, 240]"
629,203,"[377, 414, 256, 190]"
630,203,"[368, 404, 408, 331]"
631,203,"[451, 394, 251, 174]"
632,203,"[903, 350, 180, 148]"
633,203,"[846, 299, 287, 239]"
634,204,"[337, 409, 313, 233]"
635,204,"[392, 405, 329, 241]"
636,204,"[398, 422, 316, 249]"
637,204,"[908, 343, 174, 155]"
638,205,"[391, 427, 399, 278]"
639,205,"[897, 342, 187, 154]"
640,205,"[465, 399, 287, 166]"
641,205,"[858, 327, 239, 185]"
642,206,"[429, 425, 287, 201]"
643,206,"[359, 412, 356, 235]"
644,206,"[913, 344, 182, 147]"
645,207,"[936, 394, 180, 124]"
646,207,"[951, 413, 164, 124]"
647,207,"[899, 346, 190, 145]"
648,207,"[864, 323, 242, 192]"
649,208,"[359, 423, 259, 115]"
650,208,"[909, 415, 170, 112]"
651,208,"[913, 375, 202, 130]"
652,208,"[915, 362, 243, 161]"
653,209,"[368, 426, 225, 119]"
654,209,"[925, 430, 170, 106]"
655,209,"[396, 425, 382, 228]"
656,209,"[957, 449, 147, 107]"
657,209,"[932, 381, 158, 125]"
658,210,"[406, 430, 220, 112]"
659,210,"[371, 438, 222, 205]"
660,210,"[376, 428, 196, 110]"
661,210,"[385, 444, 246, 197]"
662,210,"[451, 442, 317, 211]"
663,211,"[448, 412, 267, 95]"
664,211,"[397, 430, 256, 120]"
665,211,"[950, 431, 181, 116]"
666,212,"[378, 402, 413, 131]"
667,212,"[431, 414, 404, 226]"
668,212,"[920, 363, 232, 184]"
669,213,"[398, 415, 478, 235]"
670,213,"[905, 318, 276, 238]"
671,213,"[358, 391, 498, 168]"
672,213,"[329, 307, 571, 341]"
673,214,"[374, 430, 366, 261]"
674,214,"[380, 399, 425, 212]"
675,214,"[912, 329, 270, 250]"
676,214,"[613, 358, 403, 245]"
677,214,"[931, 330, 237, 196]"
678,215,"[402, 442, 273, 201]"
679,215,"[373, 435, 282, 281]"
680,215,"[359, 415, 391, 166]"
681,215,"[395, 432, 304, 182]"
682,215,"[324, 415, 464, 200]"
683,215,"[952, 433, 188, 114]"
684,215,"[913, 343, 264, 259]"
685,215,"[969, 481, 183, 107]"
686,215,"[948, 331, 194, 182]"
687,216,"[360, 403, 474, 342]"
688,216,"[385, 412, 322, 141]"
689,216,"[348, 396, 408, 180]"
690,216,"[397, 435, 283, 155]"
691,216,"[449, 439, 301, 134]"
692,216,"[917, 337, 275, 262]"
693,216,"[386, 455, 591, 355]"
694,216,"[959, 336, 192, 176]"
695,217,"[323, 398, 510, 246]"
696,217,"[920, 344, 289, 264]"
697,217,"[974, 464, 194, 126]"
698,217,"[1065, 471, 175, 137]"
699,217,"[992, 432, 340, 204]"
700,217,"[508, 442, 442, 327]"
701,218,"[340, 414, 382, 279]"
702,218,"[351, 394, 432, 159]"
703,218,"[339, 413, 381, 186]"
704,218,"[938, 390, 249, 181]"
705,218,"[952, 414, 225, 183]"
706,218,"[963, 335, 197, 157]"
707,219,"[323, 409, 217, 163]"
708,219,"[416, 412, 360, 173]"
709,219,"[360, 422, 342, 208]"
710,219,"[428, 420, 334, 188]"
711,219,"[917, 413, 198, 142]"
712,219,"[952, 437, 200, 110]"
713,219,"[973, 336, 190, 162]"
714,220,"[241, 430, 57, 76]"
715,220,"[300, 397, 185, 127]"
716,220,"[416, 402, 262, 118]"
717,220,"[346, 408, 279, 171]"
718,220,"[521, 425, 288, 122]"
719,220,"[405, 429, 527, 355]"
720,220,"[968, 340, 196, 155]"
721,220,"[912, 287, 284, 271]"
722,221,"[340, 418, 179, 123]"
723,221,"[315, 407, 232, 194]"
724,221,"[265, 448, 215, 226]"
725,221,"[336, 403, 275, 94]"
726,221,"[348, 415, 239, 115]"
727,221,"[528, 438, 236, 88]"
728,221,"[938, 326, 270, 285]"
729,222,"[248, 426, 131, 145]"
730,222,"[350, 425, 262, 217]"
731,222,"[245, 441, 134, 148]"
732,222,"[373, 421, 341, 230]"
733,222,"[420, 413, 243, 95]"
734,222,"[401, 438, 252, 118]"
